license_number,business_name,gp_rating,enrich_status,error_message
560411,MC GAGIN RYAN PATRIC CONSTRUCTION,,,
560653,SPENCO ELECTRIC,,,
560938,VILLA CHUCK TILE,,,
561720,SOLARON,,,
561901,BJ'S CUSTOM PAINTING,,,
563013,REDPATH CONSTRUCTION,,,
563756,RAYCO ELECTRIC,,,
564282,BEHNAMZAD HOSS,,,
564740,ACTION CABINETS,,,
565365,DOMINGUEZ RICK LANDSCAPE SERVICES,,,
565575,UNIVERSAL NETWORK DEVELOPMENT CORPORATION,,,
566825,CAROLAN CONSTRUCTION,,,
567058,VERBAERE CONSTRUCTION,,,
568770,JIL DESIGN GROUP INC,,,
568804,CALIFORNIA LANDSCAPE ASSOCIATES,,,
569534,NEPTUNE PAINTING,,,
570016,NYECON INC,,,
570920,A-1 POOL SERVICE,,,
571368,HIGGS CONSTRUCTION,,,
572145,DALMAU LOUIS,,,
572233,ORACLE PROPERTIES DEVELOPMENT INC,,,
572324,BRAZIL MICHAEL D ROOFING,,,
573022,AMERICAN RIVER CONSTRUCTION INC,,,
575677,VAIL COMMUNICATIONS,,,
576693,REIMUND DEVELOPMENT,,,
576731,LAWSON GLENN T GENERAL CONTRACTOR,,,
576748,LOWELL RICK CONST,,,
576774,ULTRA GLASS,,,
576806,CHRISTOPHERSON CONSTRUCTION,,,
577094,MIRACLE METHOD OF SACRAMENTO,,,
577112,KALER GENERAL CONTRACTORS INC,,,
577136,SCR COMPANY GENERAL CONTRACTOR,,,
577897,TREASTER MILES & ASSOCIATES,,,
577904,CONTINENTAL ELECTRIC INC,,,
578294,SACA DEVELOPMENT,,,
578334,FREDS' TOTAL SERVICE CO,,,
578375,RODRIGUEZ ED PAINTING,,,
578442,AFLAKI WALLCOVERING,,,
579656,ABC CONSTRUCTION & MAINTAIN COMPANY,,,
579661,BALESTRERI CONSTRUCTION,,,
579758,ALLIGATOR CONSTRUCTION,,,
579935,CLEARWATER CONSTRUCTION,,,
581524,FAIR OAKS ELECTRIC,,,
581822,MAJESTIC BUILDERS INC,,,
581966,COMPOGINIS JAMES,,,
581981,YOUR ENERGY SOURCE,,,
582059,WHELESS B CO,,,
582063,ERNIE'S EXCAVATING & ENGINEERING,,,
582337,TUTTLE JOHN N,,,
794718,ROBERT'S WINDOW FILMS,,,
799277,RICE ROBERT J,,,
799463,CAPITOL CITY SHOWER PANS INC,,,
799658,WARD M J WELDING,,,
800621,LARSON'S FLOORING INSTALLATIONS,,,
800980,MARFIELD SITE FURNISHING SPECIALTIES,,,
801067,MOTTA BELLISSIMO PAINTING,,,
801905,SULLIVAN DRAPERY INSTALLATION,,,
802857,THOMPSON LANDSCAPING,,,
802993,NORTHWEST HOME COMPANY INC,,,
803244,HANDYMAN NETWORK,,,
803493,BENNING DESIGN CONSTRUCTION,,,
804346,CONNECTED COMMUNICATIONS INC,,,
805013,ACORN TINT CO,,pending,
805092,BUDGET PLUMBING,,pending,
805112,WEST COAST LANDSCAPE SERVICES,,pending,
805399,ALLIANCE MECHANICAL SERVICES,,pending,
805481,B C PAINTING,,pending,
805485,CALIFORNIA CONTRACTORS GROUP,,pending,
805550,TRI - COUNTY PLUMBING & DRAIN CLEANING,,pending,
805929,YOUNG DAVE ELECTRIC INC,,pending,
806051,INTERNATIONAL CADD SERVICES INC,,pending,
806099,J L PAINTING,,pending,
806112,GRAY DAVID CONSTRUCTION,,pending,
806159,SMITH STEPHEN CONSTRUCTION COMPANY,,pending,
806238,SERSOL CONSTRUCTION,,pending,
806296,AMERICAN STONE,,pending,
806318,LEE'S LANDSCAPE,,pending,
806366,WRIGHT WELDING STRUCTURAL FABRICATION,,pending,
806378,CUERVO.COM CONSTRUCTION,,pending,
806644,VALLEY COMMUNICATIONS INC,,pending,
806864,MAITRA PAUL K BUILDER,,pending,
806902,NGUYEN RICKY CONSTRUCTION,,pending,
806926,CYPRESS CONSTRUCTION OF SACRAMENTO INC,,pending,
806971,INNOVATIVE CONSTRUCTION SERVICES INC,,pending,
807166,BROTHERS COMMUNICATIONS,,pending,
807171,MONTYNE CONSTRUCTION,,pending,
807279,ALL PHASE FLOORING,,pending,
807284,T Q CONSTRUCTION SERVICES INC,,pending,
807290,FIRST SOLUTIONS INC,,pending,
807414,DESTINY TREE CARE,,pending,
807484,SURECONNECTIONS INC,,pending,
807829,CROWELL QUALITY CONSTRUCTION,,pending,
807924,ELITE POWER INC,,pending,
808366,A L S INTERIORS INC,,pending,
808387,BRO - JAM CONSTRUCTION MANAGEMENT,,pending,
808434,DOUBLE BARREL PAINTING INC,,pending,
808580,MC GREEVY RICHARD E,,pending,
808595,V I V WEST CONSTRUCTION,,pending,
808611,NAZCA CURB,,pending,
808688,ALL POOL AND SPA,,pending,
808752,TAYLOR BILT CONSTRUCTION,,pending,
808981,SHUTTER TECH THE,,pending,
808988,D T & E,,pending,
809001,TRUE LINE STUCCO,,pending,
809002,FREEMAN'S GOOD WOOD,,pending,
809029,SPICER GEN CONST HM MAINT REMODEL,,pending,
